From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Aon,53 mins,2025-07-01 19:31:15.940687,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 19:31:15.940687,driving,,30 mins
Harpur Lane,Aon,53 mins,2025-07-01 19:46:17.712291,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 19:46:17.712291,driving,,30 mins
Harpur Lane,Aon,53 mins,2025-07-01 20:01:19.323380,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 20:01:19.323380,driving,,29 mins
Harpur Lane,Aon,53 mins,2025-07-01 20:16:20.757738,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 20:16:20.757738,driving,,29 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-01 20:31:22.303156,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 20:31:22.303156,driving,,28 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-01 20:46:23.822092,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 20:46:23.822092,driving,,28 mins
Harpur Lane,Aon,53 mins,2025-07-01 21:01:25.224146,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 21:01:25.224146,driving,,28 mins
Harpur Lane,Aon,53 mins,2025-07-01 21:16:26.810763,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 21:16:26.810763,driving,,27 mins
Harpur Lane,Aon,1 hour 8 mins,2025-07-01 21:31:28.453955,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 21:31:28.453955,driving,,27 mins
Harpur Lane,Aon,53 mins,2025-07-01 23:00:00.978572,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 23:00:00.978572,driving,,27 mins
Harpur Lane,Aon,1 hour 27 mins,2025-07-02 06:30:02.655101,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 06:30:02.655101,driving,,37 mins
Harpur Lane,Aon,1 hour 17 mins,2025-07-02 06:45:04.073057,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 06:45:04.073057,driving,,41 mins
Harpur Lane,Aon,1 hour 8 mins,2025-07-02 07:00:05.732110,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 07:00:05.732110,driving,,44 mins
Harpur Lane,Aon,1 hour 8 mins,2025-07-02 07:15:07.102871,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 07:15:07.102871,driving,,50 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-02 07:30:08.639643,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 07:30:08.639643,driving,,53 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-02 07:45:10.171589,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 07:45:10.171589,driving,,50 mins
Harpur Lane,Aon,1 hour 19 mins,2025-07-02 08:00:11.568992,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 08:00:11.568992,driving,,48 mins
Harpur Lane,Aon,1 hour 13 mins,2025-07-02 08:15:13.092235,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 08:15:13.092235,driving,,48 mins
Harpur Lane,Aon,1 hour 23 mins,2025-07-02 08:30:14.574667,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 08:30:14.574667,driving,,46 mins
Harpur Lane,Aon,1 hour 23 mins,2025-07-02 08:45:16.065176,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 08:45:16.065176,driving,,43 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-02 09:00:17.728096,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 09:00:17.728096,driving,,42 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-02 09:15:19.188767,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 09:15:19.188767,driving,,40 mins
Harpur Lane,Aon,1 hour 22 mins,2025-07-02 09:30:20.631338,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 09:30:20.631338,driving,,40 mins
Harpur Lane,Aon,1 hour 29 mins,2025-07-02 09:45:22.278705,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 09:45:22.278705,driving,,40 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-02 10:00:23.757069,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 10:00:23.757069,driving,,39 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-02 10:15:25.093236,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 10:15:25.093236,driving,,39 mins
Harpur Lane,Aon,1 hour 28 mins,2025-07-02 10:30:26.813905,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 10:30:26.813905,driving,,39 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-02 18:00:00.619878,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 18:00:00.619878,driving,,42 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-02 18:15:02.888052,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-02 18:15:02.888052,driving,,40 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-02 18:30:05.467205,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-02 18:30:05.467205,driving,,39 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-02 18:45:07.940393,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 18:45:07.940393,driving,,32 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-02 19:00:10.252484,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 19:00:10.252484,driving,,32 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-02 19:15:12.232074,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 19:15:12.232074,driving,,31 mins
Harpur Lane,Aon,53 mins,2025-07-02 19:30:14.458983,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 19:30:14.458983,driving,,31 mins
Harpur Lane,Aon,53 mins,2025-07-02 19:45:16.756437,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 19:45:16.756437,driving,,30 mins
Harpur Lane,Aon,53 mins,2025-07-02 20:00:18.813456,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 20:00:18.813456,driving,,30 mins
Harpur Lane,Aon,53 mins,2025-07-02 20:15:21.415689,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 20:15:21.415689,driving,,29 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-02 20:30:23.931684,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 20:30:23.931684,driving,,28 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-02 20:45:26.221904,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 20:45:26.221904,driving,,28 mins
Harpur Lane,Aon,53 mins,2025-07-02 21:00:28.194689,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 21:00:28.194689,driving,,28 mins
Harpur Lane,Aon,53 mins,2025-07-02 21:15:30.261539,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 21:15:30.261539,driving,,29 mins
Harpur Lane,Aon,1 hour 8 mins,2025-07-02 21:30:32.320003,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-02 21:30:32.320003,driving,,28 mins
