From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Bank Of America,26 mins,2025-07-03 14:31:37.988141,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 14:46:40.097696,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 15:01:42.110144,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 15:16:44.145305,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 15:31:46.155501,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 15:46:48.197209,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 16:01:50.499999,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 16:16:52.750464,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 16:31:54.701476,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 16:46:57.032919,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 17:01:59.125043,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 17:17:01.182829,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 17:32:03.418361,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 17:47:05.521934,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 18:02:07.986441,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 18:17:10.145526,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 18:32:12.153487,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 18:47:14.536785,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 19:02:16.397971,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 19:17:18.240131,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 19:32:20.264547,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 19:47:22.169120,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 20:02:24.184286,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 20:17:25.983968,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 20:32:27.663274,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 20:47:29.427890,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 21:02:31.259302,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 21:17:33.136367,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 21:32:34.969871,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 22:27:00.708569,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 06:30:00.077952,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 06:45:02.142199,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 07:00:04.201886,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 07:15:06.013524,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 07:30:08.067315,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 07:45:10.097131,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 08:00:12.032165,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 08:15:13.979381,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 08:30:16.026399,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 08:45:17.903344,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 09:00:19.638827,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 09:15:21.734954,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 09:30:23.744334,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 09:45:25.802052,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 10:00:27.675546,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 10:15:29.385205,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 10:30:31.299041,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 10:35:48.228988,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 10:50:49.172307,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 11:05:50.011270,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-04 11:30:35.898055,driving,,26 mins
